Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Age at enrollment,Course,Curricular units 1st sem (enrolled),Application mode,Previous qualification (grade),Curricular units 2nd sem (enrolled),Mother's occupation,Scholarship holder,Target
6,16.142857142857142,6,15.571428571428571,1,7,7,18,9773,6,1,164.0,6,9,1,2
6,13.428571428571429,6,12.333333333333334,1,7,7,21,9238,6,15,140.0,6,9,0,2
6,12.0,5,11.2,1,7,11,19,9070,6,16,137.0,6,3,0,2
6,15.571428571428571,6,17.11111111111111,1,9,10,29,9003,6,7,130.0,6,6,0,2
4,14.5,5,15.0,1,8,6,18,9003,6,1,148.0,6,194,0,2
5,11.6,5,12.0,1,6,5,28,9991,5,1,144.0,5,9,0,2
6,11.333333333333334,6,12.333333333333334,1,8,6,21,9238,6,44,120.0,6,6,1,2
8,13.73125,8,13.73125,1,8,8,18,9500,8,17,137.0,8,7,1,2
8,14.9625,7,14.692857142857145,1,8,7,30,9500,7,1,129.0,8,9,0,2
3,10.333333333333334,4,12.0,1,11,16,35,9003,6,39,140.0,6,9,0,0
6,13.0,6,12.5,1,6,6,18,9070,6,1,146.0,6,0,0,0
1,10.0,0,0.0,1,7,10,19,9119,5,51,129.0,5,2,0,1
4,10.25,3,10.666666666666666,1,9,11,19,9147,5,17,118.0,5,9,0,2
6,11.5,6,12.666666666666666,1,6,6,18,9773,6,1,140.0,6,4,1,2
5,14.8,5,14.2,1,5,6,21,9085,5,10,140.0,5,4,0,2
4,14.25,4,13.5,0,10,14,25,9130,5,1,126.0,5,9,0,0
0,0.0,3,12.666666666666666,0,5,8,38,9556,7,7,140.0,5,2,0,0
8,15.125,7,13.3,1,8,7,18,9556,7,17,133.0,8,9,1,2
6,12.5,6,12.833333333333334,1,12,9,22,9500,7,1,133.1,8,9,0,1
6,11.666666666666666,6,13.0,1,7,6,19,9773,6,1,125.0,6,2,0,2
8,15.355,7,14.91875,1,8,8,18,9500,7,1,134.0,8,9,0,2
5,14.2,5,14.8,1,5,5,32,9991,5,1,120.0,5,9,0,2
3,12.0,5,10.8,1,9,7,20,9119,5,1,126.0,5,141,0,1
0,0.0,2,11.75,1,10,7,26,9556,7,39,133.1,5,2,0,0
5,11.2,3,10.666666666666666,1,9,14,26,8014,6,39,140.0,6,9,0,1
5,13.2,6,13.166666666666666,1,9,7,19,9670,6,17,123.0,6,3,0,1
4,13.5,6,11.285714285714286,1,9,7,18,9254,6,17,141.0,6,4,1,2
0,0.0,1,11.0,1,10,9,18,9147,5,17,139.0,5,7,0,1
7,13.285714285714286,6,13.0,1,7,10,19,9853,7,1,115.0,7,9,1,2
5,12.8,5,11.0,1,7,7,19,9254,6,17,118.0,6,5,1,2
11,12.545454545454543,12,13.333333333333334,1,12,12,21,9070,12,43,130.0,12,5,1,2
0,0.0,0,0.0,1,5,6,43,8014,6,39,133.1,5,9,1,0
6,12.5,6,14.166666666666666,1,6,6,23,8014,6,1,100.0,6,6,1,2
5,10.0,5,11.6,0,9,9,22,9070,7,44,100.0,9,4,0,0
0,0.0,0,0.0,1,0,0,20,171,0,1,140.0,0,1,0,0
3,11.333333333333334,8,11.25,0,8,12,26,9991,12,43,136.0,8,2,0,0
0,0.0,0,0.0,1,0,0,18,171,0,1,147.0,0,7,1,2
6,11.666666666666666,5,11.4,1,13,21,22,9003,10,44,130.0,7,3,0,0
8,14.58888888888889,7,14.485714285714286,1,9,7,18,9500,7,1,138.0,8,2,1,2
0,0.0,0,0.0,1,0,0,34,9085,6,7,130.0,6,9,0,0
6,12.5,6,12.0,1,6,6,18,9773,6,1,134.0,6,4,0,2
5,13.4,6,13.0,1,8,6,19,9238,6,1,130.0,6,4,0,2
6,12.333333333333334,8,11.875,1,7,11,44,8014,8,39,133.1,6,9,0,2
0,0.0,0,0.0,0,6,8,33,9238,6,39,133.1,5,9,0,0
0,0.0,0,0.0,1,0,1,18,9238,1,18,147.0,6,4,0,0
3,12.666666666666666,2,12.0,1,10,9,28,9070,6,7,120.0,6,2,0,0
11,13.181818181818182,12,11.916666666666666,1,13,17,34,9147,15,43,130.0,13,7,0,2
4,11.0,6,10.833333333333334,1,10,10,21,9254,6,1,112.0,6,9,0,1
5,12.6,4,12.75,1,12,8,54,8014,6,39,120.0,6,0,0,0
6,11.333333333333334,5,13.2,1,6,8,18,9238,6,1,131.0,6,9,0,2
2,12.5,3,11.666666666666666,1,14,15,18,9254,6,1,125.0,6,4,0,0
11,12.0,13,11.846153846153848,1,11,18,44,8014,13,43,161.0,11,4,0,2
1,10.0,1,10.0,1,5,13,18,9147,5,17,120.0,5,9,0,0
5,13.2,5,14.4,1,6,7,19,9085,5,1,133.0,5,4,0,2
12,12.857142857142858,14,12.5625,1,24,29,20,9130,17,43,140.0,12,2,0,2
6,13.716666666666669,6,12.933333333333332,1,7,9,19,9500,7,17,127.0,7,1,0,1
1,11.0,4,12.75,1,19,11,21,9085,6,44,140.0,6,4,0,1
6,14.375,6,13.714285714285714,1,8,8,18,9070,6,18,164.0,6,5,0,2
0,0.0,0,0.0,1,0,5,26,9147,5,7,150.0,5,1,0,0
0,0.0,0,0.0,1,0,0,31,9085,6,39,133.1,6,4,0,0
8,15.06875,7,13.15,1,9,8,18,9500,7,17,143.0,8,9,1,2
6,14.166666666666666,6,12.285714285714286,1,7,8,49,9773,6,39,133.1,6,6,1,2
0,0.0,0,0.0,1,5,5,30,9670,5,39,133.1,5,90,0,0
3,11.0,2,12.0,1,9,9,26,9991,5,39,133.1,5,7,0,0
6,12.0,5,12.4,1,6,8,21,9238,6,1,100.0,6,7,0,2
0,0.0,0,0.0,1,0,0,23,171,0,17,145.0,0,5,0,0
7,14.328571428571427,7,14.328571428571427,1,8,8,19,9500,8,1,136.0,8,9,0,2
0,0.0,0,0.0,0,7,7,24,9254,6,39,133.1,6,4,0,0
6,12.0,6,12.333333333333334,1,6,6,20,9773,6,1,140.0,6,3,0,2
0,0.0,0,0.0,1,0,0,18,171,0,17,141.0,0,9,1,1
3,13.333333333333334,1,18.0,1,10,11,29,9130,5,39,133.1,5,4,0,0
8,12.86,8,12.86,1,10,10,18,9500,8,1,141.0,8,5,0,2
13,11.615384615384617,18,11.555555555555555,1,13,20,35,9003,18,39,133.1,13,9,0,2
10,12.727272727272728,12,12.333333333333334,1,12,13,19,171,12,1,150.0,11,2,0,0
6,13.333333333333334,6,14.0,1,6,6,20,9254,6,1,172.0,6,5,1,2
3,10.333333333333334,4,12.25,1,13,8,21,9853,6,42,120.0,6,5,0,0
5,12.8,5,12.4,1,8,7,34,9254,6,39,130.0,6,4,0,2
5,11.833333333333334,6,12.714285714285714,1,8,7,18,9773,6,1,131.0,6,5,1,2
5,12.6,2,12.0,1,6,14,18,9130,5,17,130.0,5,2,0,2
10,12.9,5,13.0,1,13,9,27,9130,6,39,129.0,11,2,0,0
2,10.5,1,12.0,0,11,14,35,9085,5,39,110.0,5,90,0,0
6,14.666666666666666,6,14.5,1,8,6,21,9085,6,17,113.0,6,9,1,2
9,11.7,11,11.545454545454543,1,18,12,21,171,12,1,125.0,11,5,0,1
0,0.0,0,0.0,0,10,7,54,9556,7,39,133.1,5,4,0,0
3,12.666666666666666,2,11.0,1,9,14,20,9130,5,1,132.0,5,3,0,1
6,12.5,6,14.714285714285714,1,6,7,20,9254,6,1,137.0,6,2,1,2
5,11.2,5,11.2,1,8,8,19,9500,7,43,140.0,7,9,1,1
6,12.0,5,12.2,1,7,8,19,8014,6,17,120.0,6,0,0,2
2,11.5,4,11.0,0,13,13,19,9238,6,17,111.0,6,3,0,0
5,15.2,5,15.2,1,5,5,29,9991,5,39,133.1,5,9,0,2
5,13.0,6,12.5,1,7,6,19,9773,6,1,115.0,6,9,0,2
0,0.0,0,0.0,1,6,6,30,9003,6,39,133.1,6,3,1,1
8,12.32,8,12.32,1,8,8,18,9500,8,1,141.0,8,4,1,2
3,12.6,1,13.0,1,8,12,20,9119,5,44,130.0,5,3,0,1
5,12.4,6,12.666666666666666,1,6,6,22,9070,6,1,140.0,6,5,1,2
4,12.0,6,11.0,0,10,8,22,9070,6,53,130.0,6,3,1,1
8,13.125,7,11.0,1,8,10,32,9556,7,39,100.0,8,9,0,2
0,0.0,0,0.0,1,5,5,19,9147,5,1,120.0,5,4,1,0
8,13.427499999999998,8,13.427499999999998,1,8,8,19,9500,8,17,133.0,8,2,0,2
5,14.8,5,15.8,1,5,5,27,9991,5,39,140.0,5,9,0,2
2,12.5,2,14.333333333333334,1,10,9,20,9147,5,1,116.0,5,5,0,1
3,10.666666666666666,5,11.0,1,10,8,20,9853,6,42,120.0,6,3,0,0
0,0.0,0,0.0,0,5,5,38,9147,5,51,133.1,5,9,0,0
6,14.5,6,13.833333333333334,1,6,6,19,9773,6,18,125.0,6,4,0,2
6,12.3,5,12.857142857142858,1,11,8,20,9003,6,44,150.0,6,9,0,2
9,10.333333333333334,8,10.5,1,19,16,29,9991,13,43,120.0,12,9,0,1
0,0.0,0,0.0,0,9,12,24,9670,6,39,148.0,6,7,0,0
6,13.0,6,12.666666666666666,1,8,6,20,9070,6,1,144.0,6,3,1,2
10,13.3,6,12.166666666666666,1,14,17,24,9003,12,39,160.0,12,4,0,0
5,11.8,6,10.666666666666666,1,9,7,48,8014,6,39,133.1,6,9,1,1
5,12.6,6,13.166666666666666,1,8,8,25,9254,6,1,131.0,6,9,0,1
6,12.166666666666666,6,12.5,1,6,7,35,8014,6,39,140.0,6,9,0,2
6,11.833333333333334,6,13.333333333333334,1,6,9,46,8014,6,39,100.0,6,0,0,2
5,13.6,6,12.666666666666666,1,7,6,18,9773,6,17,128.0,6,9,0,1
5,12.2,3,11.333333333333334,1,8,8,20,9147,5,1,119.0,5,4,0,2
1,11.0,1,12.0,1,11,12,21,9670,6,53,140.0,6,3,0,1
6,12.333333333333334,6,11.5,1,7,8,19,9238,6,17,125.0,6,144,1,2
6,13.666666666666666,6,12.166666666666666,1,9,6,18,9238,6,1,133.0,6,4,1,2
5,12.0,4,13.25,1,5,7,18,9085,5,1,149.0,5,5,1,2
4,14.0,4,11.5,0,11,10,22,9147,5,17,116.0,5,3,0,1
1,10.0,5,11.4,1,8,6,19,9070,6,17,127.0,6,3,0,1
0,0.0,0,0.0,1,0,0,19,171,0,1,170.0,0,8,1,0
4,13.25,5,13.6,1,6,5,18,9130,5,1,141.0,5,4,0,2
2,11.333333333333334,3,11.0,1,8,8,20,9070,6,43,135.0,6,9,1,1
5,11.4,3,11.333333333333334,1,12,13,36,9670,6,39,130.0,6,9,0,0
1,13.0,2,10.5,1,11,10,19,9238,6,17,152.0,6,7,0,0
6,11.666666666666666,6,11.166666666666666,1,9,7,19,9238,6,17,139.0,6,3,0,2
0,0.0,3,10.666666666666666,1,9,10,19,9147,5,17,96.0,5,6,0,0
5,11.6,5,11.8,1,8,6,18,9130,5,1,137.0,5,3,0,2
4,11.25,5,11.0,1,9,9,18,9853,6,17,158.0,6,5,0,0
6,13.0,6,13.166666666666666,1,8,6,31,9238,6,39,133.1,6,4,0,1
5,12.857142857142858,5,12.0,1,9,8,35,9991,5,39,140.0,5,141,0,2
5,13.0,4,14.4,1,6,8,19,9085,6,44,140.0,6,4,0,2
6,13.333333333333334,6,13.5,1,6,6,18,9773,6,17,135.0,6,5,0,1
6,11.833333333333334,6,12.666666666666666,1,6,6,18,9773,6,18,135.0,6,3,1,0
0,0.0,0,0.0,0,10,5,24,8014,5,17,115.0,5,5,0,0
0,0.0,0,0.0,1,0,0,18,171,0,1,169.0,0,9,1,2
8,14.4625,7,12.982857142857142,1,8,7,20,9500,7,1,125.0,8,3,0,2
7,12.33,6,11.7725,1,9,13,20,9500,7,18,115.0,8,5,0,2
7,11.857142857142858,7,11.857142857142858,1,8,8,18,9500,8,43,131.0,8,5,1,2
6,12.833333333333334,6,12.666666666666666,1,6,7,20,9773,6,1,135.0,6,5,1,2
7,14.06,7,14.06,1,8,8,19,9500,8,1,145.0,8,9,1,1
8,13.40375,8,13.40375,1,8,8,18,9500,8,1,140.0,8,5,1,2
6,12.5,6,13.428571428571429,1,6,7,18,9773,6,17,142.0,6,9,1,2
6,11.333333333333334,6,12.166666666666666,1,6,6,19,9070,6,1,145.0,6,4,0,2
8,14.355555555555554,7,13.694285714285714,1,9,7,19,9500,7,1,152.0,8,3,0,2
5,12.0,4,12.25,1,7,7,21,9085,5,17,137.0,5,151,0,2
4,11.25,3,11.333333333333334,1,5,7,23,9670,5,1,121.0,5,5,0,0
2,14.0,2,10.0,1,11,7,19,9147,5,17,114.0,5,9,0,0
5,11.8,6,13.0,1,7,6,18,9773,6,1,127.0,6,8,0,0
6,14.0,6,12.0,1,6,11,29,8014,6,39,133.1,6,4,0,2
6,13.166666666666666,6,11.5,0,8,10,22,9853,7,1,133.1,7,9,0,1
0,0.0,0,0.0,0,0,0,18,9773,6,1,130.0,6,5,0,0
6,11.166666666666666,5,11.0,1,7,8,27,8014,6,39,130.0,6,9,0,2
7,13.428571428571429,11,12.75,1,7,14,29,8014,11,1,125.0,7,9,0,2
7,12.25,10,11.454545454545457,1,13,16,25,171,13,16,122.0,11,9,0,0
5,11.25,5,12.6,1,13,9,33,9147,8,7,120.0,7,9,0,1
3,12.333333333333334,4,13.0,1,8,7,18,9147,5,1,133.0,5,7,1,2
0,0.0,0,0.0,1,0,0,18,171,0,16,145.0,0,2,0,2
6,13.5,6,14.666666666666666,1,6,6,25,9773,6,7,140.0,6,4,0,2
19,12.210526315789474,21,12.476190476190476,1,19,21,37,9853,21,43,130.0,19,2,0,2
6,15.25,6,15.25,1,7,7,18,9500,7,1,155.0,7,4,0,2
4,10.5,4,12.25,0,13,10,43,9003,6,39,120.0,6,9,0,0
8,14.772727272727272,7,13.642857142857142,1,11,7,18,9500,7,17,147.0,8,5,0,2
2,10.5,4,10.5,1,7,10,19,9853,7,1,114.0,7,5,0,0
2,13.0,5,11.6,1,10,13,25,33,10,43,143.0,8,9,0,1
4,12.75,6,13.333333333333334,1,6,7,23,9773,6,51,135.0,6,5,0,2
6,12.0,6,13.5,1,12,10,18,9085,6,10,163.3,6,4,0,2
2,13.0,6,11.833333333333334,0,8,16,22,9238,10,43,124.0,7,3,0,0
6,13.966666666666669,6,13.966666666666669,1,7,7,20,9500,7,1,136.0,7,9,0,2
4,14.25,4,12.5,1,5,5,19,9670,5,1,142.0,5,7,0,2
4,12.0,3,12.333333333333334,1,7,8,18,9147,5,1,139.0,5,4,0,2
7,13.328571428571427,7,12.135714285714286,1,10,8,19,9500,7,1,126.0,8,6,1,2
7,12.857142857142858,7,13.142857142857142,1,8,7,19,9853,7,18,111.0,7,191,0,2
0,0.0,0,0.0,1,0,0,42,9238,6,39,133.1,6,9,0,0
0,0.0,0,0.0,1,5,6,20,9238,6,17,103.0,5,7,0,0
4,14.333333333333334,4,13.75,1,13,9,19,9085,5,1,138.0,5,4,0,2
8,14.077777777777778,7,14.757142857142856,1,9,7,27,9500,7,39,130.0,8,4,0,2
5,11.8,4,12.5,0,8,8,35,9147,5,39,133.1,5,9,0,0
7,13.937142857142858,7,13.937142857142858,1,8,8,19,9500,8,17,130.0,8,7,0,2
5,12.6,8,12.375,1,15,18,23,9991,11,53,140.0,9,191,0,1
4,10.5,5,10.6,1,11,8,19,9238,6,17,144.0,6,2,0,2
6,14.583333333333334,6,14.35,1,10,8,33,9500,7,7,140.0,8,9,0,0
3,11.0,6,15.0,1,8,7,33,9070,6,7,140.0,6,9,0,2
6,13.166666666666666,5,12.4,1,6,9,19,9773,6,17,136.0,6,9,1,2
4,12.8,6,13.0,1,15,7,21,9085,6,44,140.0,6,3,0,2
5,12.4,5,12.4,1,5,5,26,9991,5,39,130.0,5,3,0,2
7,12.142857142857142,7,13.285714285714286,1,11,8,26,9070,7,43,150.0,8,3,0,1
6,11.166666666666666,6,13.5,1,6,6,21,9070,6,1,133.1,6,3,1,2
6,11.666666666666666,6,12.0,1,7,6,19,9773,6,17,130.0,6,9,1,2
10,12.96818181818182,11,12.7,1,12,11,45,9500,11,7,120.0,10,9,0,1
0,0.0,0,0.0,1,0,0,18,9500,7,1,143.0,8,4,0,0
0,0.0,0,0.0,1,0,0,20,171,0,1,130.0,0,9,0,2
1,11.0,2,11.0,0,5,8,49,9991,5,39,133.1,5,4,0,0
7,12.82375,7,13.761111111111113,1,11,9,19,9500,7,1,133.0,8,1,0,2
5,14.333333333333334,6,15.0,1,10,8,18,9085,6,10,184.4,6,2,0,2
6,14.142857142857142,6,14.625,1,9,8,18,9670,6,1,122.0,6,5,0,1
6,12.714285714285714,6,12.666666666666666,1,7,8,19,9773,6,1,129.0,6,5,0,2
6,11.808333333333332,7,12.401428571428571,1,10,7,20,9500,7,1,106.0,8,191,0,1
1,11.0,3,11.666666666666666,1,8,7,30,9991,5,39,133.1,5,9,0,0
7,11.721428571428572,7,11.721428571428572,1,12,12,18,9500,8,1,135.0,8,7,1,2
6,12.0,9,12.0,1,8,11,41,8014,9,43,100.0,7,9,0,2
0,0.0,0,0.0,1,5,5,18,9119,5,1,140.0,5,9,0,1
6,13.285714285714286,6,12.166666666666666,1,7,8,21,9238,6,17,123.0,6,9,0,2
0,0.0,0,0.0,1,0,0,18,171,0,1,156.0,0,9,0,2
0,0.0,0,0.0,1,0,0,19,9500,7,17,148.0,8,4,0,0
6,13.666666666666666,6,13.5,1,9,6,18,9670,6,1,140.0,6,5,1,2
5,12.8,5,10.8,1,7,10,22,9070,6,1,135.0,6,9,1,2
3,10.8,3,10.5,1,11,10,19,9119,5,17,111.0,5,5,0,0
5,11.6,4,12.25,1,8,9,22,9853,6,17,150.0,6,5,0,1
6,15.0,6,13.857142857142858,1,6,8,18,9238,6,1,142.0,6,6,0,2
3,10.5,1,12.0,1,6,9,24,9119,5,39,133.1,5,5,0,1
0,0.0,0,0.0,1,5,5,27,9991,5,43,161.0,5,9,0,0
4,11.5,4,12.25,1,8,10,20,9853,6,43,118.0,6,5,0,1
4,10.25,4,12.5,1,12,12,19,9254,6,17,118.0,6,5,0,0
0,0.0,0,0.0,1,0,0,18,9070,6,17,132.0,6,5,0,0
6,12.675,6,12.675,1,11,11,25,9500,8,39,114.0,8,9,0,2
4,12.2,4,13.6,1,9,11,19,9085,5,17,140.0,5,7,0,2
6,13.0,6,14.142857142857142,1,7,8,19,9085,6,44,150.0,6,4,0,2
5,11.4,5,11.0,1,7,8,38,9991,5,1,140.0,5,9,1,1
8,13.42375,8,13.42375,1,8,8,18,9500,8,1,137.0,8,4,1,2
6,13.857142857142858,6,14.0,1,7,6,18,9070,6,1,138.0,6,3,0,2
4,12.0,3,10.666666666666666,1,9,12,18,9254,6,17,118.0,6,5,1,1
3,11.333333333333334,2,10.0,1,7,14,37,9991,5,39,120.0,5,9,0,1
9,11.0,9,12.333333333333334,1,16,21,44,8014,11,39,140.0,11,9,0,1
4,11.25,3,12.333333333333334,1,5,7,21,9670,5,17,132.0,5,5,0,0
8,12.48375,8,12.48375,1,8,8,20,9500,8,1,132.0,8,5,0,2
5,12.333333333333334,5,12.0,1,6,6,20,9147,5,1,135.0,5,9,0,2
6,13.625,4,13.5,1,10,8,18,9119,5,17,120.0,6,9,1,1
7,14.992857142857142,7,14.992857142857142,1,8,8,19,9500,8,1,139.0,8,9,0,2
6,12.333333333333334,4,13.125,1,8,12,21,9500,7,43,136.0,7,173,0,1
7,12.365714285714288,7,12.365714285714288,1,8,8,18,9500,8,1,143.0,8,4,0,2
3,13.333333333333334,2,10.5,1,11,8,19,9147,5,1,130.0,5,9,1,1
5,12.333333333333334,5,13.5,1,8,10,20,9147,5,17,122.0,5,4,0,2
7,14.428571428571429,7,13.285714285714286,1,7,7,19,9853,7,1,136.0,7,9,1,2
1,10.0,3,11.666666666666666,0,15,9,19,9254,6,17,123.0,6,9,0,0
4,10.833333333333334,4,11.25,1,10,11,31,9991,5,39,130.0,5,9,1,1
6,11.166666666666666,6,12.833333333333334,1,7,6,19,9070,6,17,117.0,6,3,1,2
6,14.428571428571429,6,13.5,1,7,7,19,9773,6,1,140.0,6,9,1,2
0,0.0,0,0.0,1,0,0,19,171,0,17,136.0,0,7,0,0
9,10.444444444444445,10,11.5,1,18,17,24,9853,13,42,120.0,13,4,0,0
4,11.0,4,10.714285714285714,1,9,12,18,9147,5,17,121.0,5,6,1,2
0,0.0,0,0.0,1,0,0,41,9238,6,7,130.0,6,99,0,0
6,11.166666666666666,6,11.666666666666666,1,8,6,20,9238,6,1,134.0,6,4,1,2
6,11.166666666666666,5,11.4,1,7,10,33,8014,6,39,150.0,6,0,0,2
0,0.0,0,0.0,0,5,5,22,9254,5,18,119.0,5,9,0,0
4,11.2,5,11.6,1,8,9,18,9070,6,17,125.0,6,3,1,1
2,10.5,4,10.75,1,12,15,20,9130,6,44,110.0,6,2,0,0
5,12.2,5,13.4,1,6,5,18,9147,5,17,127.0,5,9,0,2
4,12.25,4,11.0,1,8,11,19,9991,5,1,143.0,5,4,0,0
5,13.6,6,12.333333333333334,0,8,6,18,9670,6,17,110.0,6,7,0,2
5,12.8,5,11.6,1,5,7,20,9147,5,1,128.0,5,5,0,2
8,13.045,8,13.045,1,8,8,18,9500,8,1,137.0,8,9,0,2
0,0.0,0,0.0,1,0,6,19,9853,6,1,133.0,6,4,0,0
4,11.75,5,13.0,0,11,17,28,9003,6,39,133.1,6,9,0,0
6,13.0,6,13.5,1,6,7,20,9238,6,1,143.0,6,9,0,2
1,11.0,3,12.0,1,9,8,21,9254,6,1,120.0,6,9,0,0
6,15.833333333333334,6,15.333333333333334,1,9,6,19,9070,6,16,152.0,6,4,0,2
5,12.2,6,13.0,1,8,10,28,9254,6,39,150.0,6,3,0,2
5,12.2,6,14.77777777777778,1,11,9,43,9003,6,39,120.0,6,9,0,2
6,12.666666666666666,6,13.166666666666666,1,6,6,19,9070,6,1,128.0,6,7,0,2
5,12.6,5,11.666666666666666,1,7,10,20,9003,6,44,140.0,6,4,0,2
4,12.25,4,12.0,1,8,8,18,9147,5,1,132.0,5,7,0,1
6,11.9,7,12.60625,1,12,9,19,9500,7,1,133.1,8,5,0,2
6,12.166666666666666,6,15.5,1,7,6,20,9070,6,1,122.0,6,9,1,2
7,14.652857142857142,7,14.652857142857142,1,8,8,18,9500,8,17,139.0,8,9,0,2
0,0.0,0,0.0,1,5,5,26,9670,5,39,150.0,5,0,0,0
2,15.0,5,12.4,1,11,12,20,9130,6,44,140.0,6,4,0,1
5,10.6,7,11.0,0,5,12,22,9991,12,51,110.0,5,5,0,0
6,13.166666666666666,6,13.166666666666666,1,7,8,19,9773,6,1,175.0,6,2,0,0
6,13.333333333333334,6,14.0,1,9,8,18,9085,6,1,138.0,6,4,0,2
0,0.0,1,12.0,1,13,16,36,9556,7,7,160.0,7,9,0,0
5,11.8,3,12.0,1,16,12,30,9003,12,39,120.0,12,1,0,0
10,12.818181818181818,12,13.333333333333334,1,15,12,19,171,12,1,133.1,11,9,1,1
0,0.0,0,0.0,1,0,0,19,171,0,16,155.0,0,5,0,2
4,12.75,3,12.666666666666666,1,6,7,21,9670,5,17,115.0,5,5,0,1
7,12.454285714285716,7,12.454285714285716,1,8,8,19,9500,8,17,129.0,8,9,0,2
6,13.0,6,12.833333333333334,1,8,7,18,9130,6,17,138.0,6,2,1,1
0,0.0,0,0.0,1,8,8,18,9500,8,1,141.0,8,90,0,0
9,13.88888888888889,11,13.785714285714286,1,9,15,20,9085,11,53,160.0,9,4,0,2
4,11.25,5,11.142857142857142,1,11,11,18,9238,6,17,128.0,6,9,1,2
6,14.333333333333334,6,12.5,1,6,6,20,9070,6,17,145.0,6,4,1,1
7,11.857142857142858,6,10.857142857142858,1,7,13,24,9556,7,39,130.0,7,9,1,1
0,0.0,0,0.0,1,0,0,47,9147,5,39,133.1,5,9,0,0
5,12.833333333333334,6,12.571428571428571,1,10,9,24,9130,6,39,114.0,6,9,0,0
6,15.5,6,13.833333333333334,1,6,6,39,8014,6,39,133.1,6,9,1,2
0,0.0,0,0.0,1,5,5,29,9991,5,39,130.0,5,9,0,1
2,11.5,4,12.0,1,4,5,20,9147,5,1,124.0,4,3,0,1
6,13.3,6,13.3,1,7,7,24,9500,7,1,125.0,7,9,0,2
6,12.333333333333334,6,14.571428571428571,1,7,7,19,9670,6,17,120.0,6,5,0,2
2,10.5,1,11.0,0,9,12,28,9130,6,39,133.1,6,8,0,0
6,14.714285714285714,6,13.714285714285714,1,8,7,20,9254,6,17,148.0,6,4,0,2
0,0.0,0,0.0,0,0,0,39,9500,7,7,140.0,8,4,0,0
5,13.833333333333334,6,14.833333333333334,1,10,8,22,9085,6,51,125.0,6,9,0,2
3,11.0,8,12.625,1,10,18,20,9238,11,51,122.0,10,5,0,1
5,12.6,5,11.714285714285714,1,6,11,19,9085,5,17,140.0,5,4,0,2
2,13.5,4,13.333333333333334,1,6,15,18,9147,5,1,143.0,5,5,0,0
7,13.771428571428572,7,13.44285714285714,1,8,7,19,9500,7,17,145.0,8,4,0,0
0,0.0,2,11.0,1,10,10,19,9119,5,17,117.0,6,3,0,0
0,0.0,5,11.8,1,9,6,21,9773,6,1,140.0,6,4,0,0
0,0.0,0,0.0,1,9,9,25,9130,5,7,140.0,5,0,0,0
3,13.333333333333334,4,14.5,1,8,5,20,9119,5,17,126.0,6,5,0,0
